_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
311,Wesburn Manor,400 The West Mall,LTCH,Respiratory,Influenza A (H3),Respiratory syncytial virus,2018-02-03,2018-02-16,N
312,St. Michael's Hospital - 7 CCV,30 Bond St,Hospital-Acute Care,Respiratory,Influenza B,,2018-02-03,2018-02-11,N
313,The Scarborough Hospital - Birchmount - 3D,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-02-03,2018-02-11,N
314,West Park Healthcare Centre - 3WE,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-02,2018-02-13,N
315,Belmont House - 3WW,55 Belmont St,LTCH,Respiratory,Influenza B,,2018-02-01,2018-02-17,N
316,Chartwell Gibson Long Term Care,1925 Steeles Ave E,LTCH,Enteric,Norovirus-like,,2018-02-01,2018-02-12,N
317,Kensington Gardens - South Building - 1 East & 2 East,25 Brunswick Ave,LTCH,Respiratory,Influenza A (H3),,2018-02-01,2018-02-16,N
318,Westside,1145 Albion Rd,LTCH,Respiratory,Influenza B,,2018-02-01,2018-02-26,N
319,Holland Bloorview Kids Rehabilitation Hospital - BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Influenza B,Enterovirus/Rhinovirus,2018-02-01,2018-02-26,N
320,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2018-02-01,2018-02-11,N
321,Shepherd Lodge,3760 Sheppard Ave E,LTCH,Respiratory,Influenza B,,2018-01-31,2018-02-21,N
322,Harmony Hill Care Community,1800 O'Connor Dr,LTCH,Respiratory,Influenza B,,2018-01-31,2018-02-14,N
323,Harold and Grace Baker Centre - 1st Fl,1 Northwestern Ave,LTCH,Respiratory,Influenza A (H3),Influenza B,2018-01-31,2018-02-16,N
324,Sunnybrook Health Sciences Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Influenza B,,2018-01-30,2018-02-07,N
325,The Briton House Retirement Centre - North & South Tower,"700 & 720 Mount Pleasant Rd - 6th, 7th, 8th & 9th Fl",Retirement Home,Respiratory,Unable to identify,,2018-01-30,2018-02-14,N
326,Providence Healthcare - A5 East,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza B,,2018-01-29,2018-02-06,N
327,Trillium Health Partners - Queensway Health Centre -,150 Sherway Dr - Complex Care Unit,Hospital-Acute Care,Enteric,Unable to identify,,2018-01-29,2018-02-05,N
328,Providence Healthcare - Houses of Providence - HOP 4E -,3276 St Clair Ave E - Juniper House,LTCH,Respiratory,Influenza A (H3),,2018-01-27,2018-02-07,N
329,Ivan Franko Home - 3rd Fl,767 Royal York Rd,LTCH,Respiratory,Unable to identify,,2018-01-26,2018-02-06,N
330,Weston Gardens Retirement Residence - 5th Fl,303 Queens Dr,Retirement Home,Enteric,Unable to identify,,2018-01-26,2018-02-03,N
331,Cedarvale Terrace - 4th Fl,429 Walmer Rd,LTCH,Respiratory,Unable to identify,,2018-01-26,2018-02-15,N
332,Toronto General Hospital - 14 Eaton South,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza B,,2018-01-26,2018-02-02,N
333,Chartwell Grenadier Retirement Residence,2100 Bloor St W,Retirement Home,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-25,2018-02-21,N
334,St. Michael's Hospital  - 16CN,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2018-01-25,2018-02-02,N
335,Amica at Bayview Gardens,19 Rean Dr,Retirement Home,Enteric,Unable to identify,,2018-01-24,2018-02-12,N
336,"Fudger House - 1 East, 2 East & 2 West Units",439 Sherbourne St,LTCH,Respiratory,Unable to identify,,2018-01-24,2018-02-08,N
337,Lakeshore Lodge - 2 North & 2 South,3197 Lake Shore Blvd W,LTCH,Enteric,Norovirus-like,,2018-01-24,2018-02-03,N
338,Belmont House - 2WW,55 Belmont St,LTCH,Enteric,Unable to identify,,2018-01-24,2018-02-05,N
339,"Castleview Wychwood Towers - 4th, 5th & 6th Fl",351 Christie St,LTCH,Respiratory,Influenza B,,2018-01-23,2018-02-16,N
340,West Park Long Term Care,82 Buttonwood Ave,LTCH,Respiratory,Influenza B,,2018-01-23,2018-02-08,N
341,Weston Terrace Care Community - 1A & 3A,2005 Lawrence Ave W,LTCH,Enteric,Unable to identify,,2018-01-22,2018-02-16,N
342,North York General Hospital - Seniors' Health Centre,2 Buchan Crt,LTCH,Respiratory,Influenza A (H3),,2018-01-22,2018-02-06,N
343,Sunnybrook Health Science Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Respiratory syncytial virus,,2018-01-22,2018-01-31,N
344,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Influenza B,Coronavirus,2018-01-22,2018-02-20,N
345,"Castleview Wychwood Towers - 2nd, 5th & 7th Fl",351 Christie St,LTCH,Enteric,Norovirus-like,,2018-01-22,2018-02-13,N
346,Ukrainian Canadian Care Centre,60 Richview Rd,LTCH,Respiratory,Influenza B,,2018-01-22,2018-02-16,N
347,Yee Hong Centre - Scarborough Finch,60 Scottfield Dr,LTCH,Respiratory,Influenza B,Respiratory syncytial virus,2018-01-22,2018-02-14,N
348,Copernicus Lodge,66 Roncesvalles Ave,LTCH,Respiratory,Influenza A (Not subtyped),Influenza B,2018-01-22,2018-02-14,N
349,Salvation Army Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,Influenza A (H3),,2018-01-22,2018-02-02,N
350,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2018-01-22,2018-02-01,N
351,Kingsway Retirement Home - Memory Care Fl,4251 Dundas St W,Retirement Home,Respiratory,Influenza A (H3),,2018-01-22,2018-01-31,N
352,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2018-01-22,2018-02-06,N
353,Extendicare Guildwood - East Wing,60 Guildwood Pky,LTCH,Respiratory,Unable to identify,,2018-01-21,2018-02-12,N
354,Seaton House - 4th Fl,339 George St,Shelter,Respiratory,Influenza A (H3),,2018-01-21,2018-02-12,N
355,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 1-3,Hospital-Psychiatric,Respiratory,Influenza A ((H1N1)pdm09),,2018-01-21,2018-01-29,N
356,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza B,Parainfluenza type 1,2018-01-21,2018-02-07,N
357,Hawthorne Place Care Centre,2045 Finch Ave W,LTCH,Enteric,Norovirus-like,,2018-01-20,2018-02-14,N
358,Extendicare Rouge Valley - Highland Creek House,551 Conlins Rd,LTCH,Respiratory,Unable to identify,,2018-01-20,2018-01-29,N
